"city","country_iso","test_time","asn","packet_loss_rate","download_throughput_mbps","download_latency_ms","download_jitter","download_bytes","upload_throughput_mbps","upload_latency_ms","upload_jitter","upload_bytes"
"Brzeg Dolny","PL","2025-05-07 20:29:31+02",5617,0.00000,131.20708,41,57.68000,169000000,20.78051,21,11.37000,46800000
"Brzeg Dolny","PL","2025-05-07 20:30:53+02",5617,0.00000,93.82160,14,3.79000,169000000,19.79368,13,2.11000,46800000
"Brzeg Dolny","PL","2025-05-07 20:32:20+02",5617,0.00000,93.96801,10,7.24000,169000000,20.05418,27,27.74000,46800000
"Lublin","PL","2025-05-06 19:08:45+02",5617,0.00000,28.46628,69,27.00000,69000000,6.07049,326,305.75000,6800000
"Rzeszów","PL","2025-05-06 19:56:50+02",5617,0.00000,343.04868,13,5.07000,469000000,67.08315,84,33.83000,146800000
"Łaziska Górne","PL","2025-05-05 20:35:10+02",5617,0.00000,31.22442,66,17.49000,69000000,6.24907,330,214.69000,6800000
"Katowice","PL","2025-05-05 20:36:45+02",5617,0.00000,14.80475,101,59.18000,69000000,3.34327,645,635.49000,6800000
"Łaziska Górne","PL","2025-05-05 20:37:45+02",5617,0.00000,29.59216,80,33.26000,69000000,6.29083,349,157.99000,6800000
"Lublin","PL","2025-05-05 20:51:44+02",5617,0.00000,31.83287,60,29.30000,69000000,19.44777,97,65.58000,46800000
"Lublin","PL","2025-05-05 20:52:27+02",5617,0.00000,32.93585,71,37.77000,69000000,24.31452,97,51.89000,46800000
"Warsaw","PL","2025-05-05 20:56:01+02",5617,0.00700,414.11914,12,8.38000,469000000,165.07280,19,9.79000,296800000
"Mrzezino","PL","2025-05-07 19:04:06+02",5617,0.00000,319.86222,21,6.10000,469000000,153.59111,29,8.55000,296800000
"Warsaw","PL","2025-05-06 17:22:14+02",5617,0.00000,48.53881,215,128.52000,169000000,20.96099,166,97.32000,46800000
"Waksmund","PL","2025-05-06 17:39:27+02",5617,0.00000,308.55678,14,3.27000,469000000,67.68950,42,3.11000,146800000
"Wroclaw","PL","2025-05-06 17:48:02+02",5617,0.04800,45.35469,110,65.71000,169000000,17.80316,192,48.64000,46800000
"Krakow","PL","2025-05-05 12:03:54+02",5617,0.00000,187.78884,48,27.73000,469000000,27.58231,13,2.84000,46800000
"Warsaw","PL","2025-05-05 12:06:22+02",5617,0.00000,158.95721,22,15.85000,469000000,44.90390,53,2.77000,146800000
"Katowice","PL","2025-05-05 12:11:53+02",5617,0.00000,32.07491,58,18.63000,69000000,5.05085,65,38.07000,6800000
"Dzikowiec","PL","2025-05-05 12:24:40+02",5617,0.00000,14.70757,60,18.92000,69000000,19.63009,178,141.55000,46800000
