"city","country_iso","test_time","asn","packet_loss_rate","download_throughput_mbps","download_latency_ms","download_jitter","download_bytes","upload_throughput_mbps","upload_latency_ms","upload_jitter","upload_bytes"
"Accra","GH","2025-05-05 09:03:33+02",37282,0.354,0.84483,106,55.18,1000000,1.85638,108,81.54,100000
"Accra","GH","2025-05-06 13:10:03+02",14593,0.389,17.51072,112,10.34,1000000,1.54824,109,8.5,100000
"Accra","GH","2025-05-07 07:30:52+02",29614,0.0,40.01196,171,137.54,1000000,22.16097,376,296.85,1000000
"Accra","GH","2025-05-06 16:46:57+02",29614,0.0156,16.84403,150,414.68,10000000,9.51479,149,588.03,100000
"Accra","GH","2025-05-06 06:53:05+02",29614,0.0,79.54668,6,2.67,1000000,84.81013,79,32.31,1000000
"Guatemala City","GT","2025-05-06 18:53:05+02",23243,0.0,36.49063,88,112.81,1000000,25.84378,76,17.75,1000000
"Guatemala City","GT","2025-05-06 01:21:31+02",52286,0.0,53.27828,28,10.79,1000000,15.67252,29,22.53,100000
"Guatemala City","GT","2025-05-06 01:26:29+02",52286,0.0,58.97127,31,3.37,1000000,18.87324,33,3.78,100000
"Guatemala City","GT","2025-05-06 06:06:58+02",22869,0.0,55.3799,53,114.19,1000000,54.39784,18,15.64,1000000
"Guatemala City","GT","2025-05-06 02:46:47+02",23243,0.0,2.007,46,25.82,100000,20.71631,141,51.12,1000000
"Guatemala City","GT","2025-05-07 22:14:21+02",52468,0.02,55.96083,44,249.21,1000000,38.91578,32,9.51,1000000
"Guatemala City","GT","2025-05-07 22:19:44+02",52468,0.0,49.24551,47,8.87,1000000,46.50625,45,3.9,25000000
"Guatemala City","GT","2025-05-07 22:56:12+02",52286,0.28,37.46439,54,18.43,1000000,16.78497,30,20.43,100000
NULL,"GT","2025-05-06 00:13:39+02",52286,0.0,31.19844,44,22.96,1000000,36.61202,39,11.14,1000000
"Guatemala City","GT","2025-05-07 02:46:44+02",22869,0.0,144.46865,22,14.82,25000000,194.2029,50,21.98,1000000
"Guatemala City","GT","2025-05-05 22:09:05+02",52468,0.0,79.70522,33,5.87,1000000,74.10821,10,8.33,10000000
"Guatemala City","GT","2025-05-05 22:10:16+02",52468,0.0,74.09626,8,3.57,1000000,71.59395,30,19.99,1000000
"Guatemala City","GT","2025-05-05 21:23:43+02",52286,0.0,15.44864,56,5.92,1000000,14.77941,56,1.42,100000
"Guatemala City","GT","2025-05-05 21:32:21+02",23243,0.0,5.15761,16,4.47,1000000,3.97823,16,2.89,1000000
"Guatemala City","GT","2025-05-05 21:46:03+02",23243,0.003,16.00906,67,24.84,1000000,4.44199,313,256.56,100000
"Guatemala City","GT","2025-05-05 21:59:44+02",52468,0.0,60.94739,31,6.38,1000000,15.22727,31,5.52,100000
"Guatemala City","GT","2025-05-06 22:38:52+02",22869,0.0,141.17242,22,14.14,10000000,196.09756,30,35.09,1000000
"Guatemala City","GT","2025-05-07 10:11:11+02",23243,0.0,34.7628,62,12.77,1000000,12.62166,130,18.39,100000
"Guatemala City","GT","2025-05-05 20:52:26+02",22869,0.0,141.6222,23,11.42,10000000,190.52133,17,6.57,1000000
"Guatemala City","GT","2025-05-06 21:00:23+02",22869,0.0,114.58171,26,11.89,25000000,150.05599,17,7.24,10000000
"Guatemala City","GT","2025-05-06 19:52:36+02",23243,0.0,9.79114,67,191.61,10000000,2.08506,44,88.97,100000
"Guatemala City","GT","2025-05-06 19:59:43+02",23243,0.069,9.84342,44,45.44,10000000,1.83098,38,74.6,1000000
"Guatemala City","GT","2025-05-06 20:01:44+02",23243,0.105,9.20139,37,66.05,10000000,1.93642,34,236.45,1000000
"Guatemala City","GT","2025-05-06 20:02:09+02",26617,0.0,43.27956,66,12.72,1000000,84.98943,196,25.62,1000000
"Guatemala City","GT","2025-05-06 20:20:29+02",23243,0.182,10.62783,39,70.64,100000,2.20395,40,301.58,100000
"Guatemala City","GT","2025-05-06 20:50:31+02",23243,0.0,10.03014,37,50.51,10000000,2.00554,34,478.94,1000000
"Guatemala City","GT","2025-05-06 20:52:58+02",23243,0.0,10.00393,38,98.59,10000000,2.17063,37,50.36,100000
"Guatemala City","GT","2025-05-07 21:02:58+02",23243,0.0,26.82664,12,149.81,10000000,15.79568,279,147.43,100000
"Guatemala City","GT","2025-05-07 21:04:04+02",23243,0.117,89.41224,3,33.23,1000000,25.60509,7,136.07,100000
"Guatemala City","GT","2025-05-07 21:38:49+02",52468,0.002,9.42568,51,18.4,1000000,11.91111,144,28.7,100000
"Guatemala City","GT","2025-05-07 21:40:19+02",52468,0.049,9.72607,48,17.01,100000,14.38025,73,44.08,1000000
"Guatemala City","GT","2025-05-07 21:55:44+02",52468,0.0,25.73118,34,3.84,1000000,35.60673,45,3.87,1000000
