"city","country_iso","test_time","asn","packet_loss_rate","download_throughput_mbps","download_latency_ms","download_jitter","download_bytes","upload_throughput_mbps","upload_latency_ms","upload_jitter","upload_bytes"
"Warsaw","PL","2025-05-07 16:13:19+02",5617,0.66200,235.99536,274,141.56000,10000000,43.00155,30,11.49000,10000000
"Wroclaw","PL","2025-05-06 17:48:02+02",5617,0.04800,93.41978,224,65.71000,25000000,29.91405,291,48.64000,10000000
"Waksmund","PL","2025-05-06 17:39:27+02",5617,0.00000,563.53768,19,3.27000,10000000,102.23805,67,3.11000,25000000
"Warsaw","PL","2025-05-06 17:22:14+02",5617,0.00000,87.50160,502,128.52000,25000000,38.18933,237,97.32000,10000000
"Lublin","PL","2025-05-07 13:47:22+02",5617,0.22600,823.91740,24,7.14000,10000000,295.58823,34,8.49000,25000000
"Wroclaw","PL","2025-05-05 18:39:33+02",5617,0.00000,56.24861,13,1.60000,10000000,48.46293,12,0.97000,1000000
"Warsaw","PL","2025-05-06 10:56:22+02",5617,0.00400,98.44024,84,27.64000,10000000,109.92617,178,29.44000,10000000
"Rzeszów","PL","2025-05-06 14:57:57+02",5617,0.00000,579.96407,21,5.96000,100000000,101.93990,115,41.22000,10000000
"Głogów Małopolski","PL","2025-05-06 14:53:13+02",5617,0.10300,577.21808,26,4.16000,10000000,101.73094,116,34.22000,25000000
"Głogów Małopolski","PL","2025-05-06 14:52:10+02",5617,0.13600,567.78024,27,8.07000,100000000,101.36157,116,36.10000,10000000
"Warsaw","PL","2025-05-06 14:46:25+02",5617,0.00000,1300.85328,5,2.51000,10000000,372.36013,62,21.82000,25000000
"Warsaw","PL","2025-05-06 14:45:08+02",5617,0.00000,1589.84465,3,0.57000,25000000,389.04481,53,23.81000,50000000
"Radzyń Podlaski","PL","2025-05-06 14:41:04+02",5617,0.00100,449.56315,40,14.37000,10000000,89.13526,20,2.63000,10000000
"Warsaw","PL","2025-05-06 14:17:56+02",5617,0.00000,83.35170,342,108.02000,25000000,37.73939,276,69.37000,10000000
"Lublin","PL","2025-05-05 16:58:56+02",5617,0.04900,74.83854,176,34.06000,10000000,25.43499,310,84.10000,1000000
